industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
2,1.0,197.0,4.0,59,246.48575949367088,6,23,2023
19,0.09,141.0,4.0,59,246.48575949367088,6,22,2023
19,0.265281748213304,300.0,14.0,59,300.0,6,21,2023
27,0.265281748213304,25200.0,13.0,59,200.0,6,21,2023
13,0.265281748213304,148.0,4.0,59,75.0,6,21,2023
9,0.4,134.0,4.0,7,38.0,6,21,2023
12,0.265281748213304,306.0,12.0,59,246.48575949367088,6,21,2023
27,0.11,16500.0,13.0,48,1000.0,6,20,2023
17,0.265281748213304,157.0,14.0,34,800.0,6,20,2023
9,1.0,13.0,0.0,58,246.48575949367088,6,20,2023
18,0.2,88.0,0.0,22,48.0,6,19,2023
10,1.0,2.0,1.0,59,246.48575949367088,6,19,2023
12,1.0,80.0,4.0,59,92.0,6,18,2023
12,0.8,24.0,2.0,22,170.0,6,17,2023
27,0.265281748213304,3300.0,13.0,59,270.0,6,16,2023
27,1.0,4.0,1.0,58,246.48575949367088,6,16,2023
23,0.265281748213304,194.0,14.0,59,246.48575949367088,6,16,2023
12,0.33,51.0,2.0,59,100.0,6,15,2023
27,0.6,157.0,15.0,50,45.0,6,15,2023
3,0.265281748213304,157.0,15.0,59,246.48575949367088,6,15,2023
12,0.265281748213304,157.0,14.0,59,246.48575949367088,6,15,2023
5,0.9,17.0,2.0,22,246.48575949367088,6,15,2023
3,1.0,84.0,3.0,59,900.0,6,14,2023
2,0.07,455.2,13.0,59,130.0,6,14,2023
27,0.24,340.0,13.0,59,102.0,6,14,2023
9,0.11,184.0,13.0,59,81.0,6,14,2023
23,0.265281748213304,111.0,0.0,22,80.0,6,14,2023
7,0.18,50.0,3.0,59,246.48575949367088,6,14,2023
25,0.265281748213304,119.0,4.0,59,8.0,6,13,2023
9,0.15,284.0,14.0,59,400.0,6,12,2023
20,0.12,469.0,7.0,59,100.0,6,12,2023
5,0.04,227.0,13.0,59,80.0,6,12,2023
18,1.0,4.0,1.0,59,246.48575949367088,6,12,2023
7,0.15,529.0,8.0,58,246.48575949367088,6,12,2023
3,0.4,253.0,0.0,59,80.0,6,11,2023
2,1.0,157.0,0.0,48,246.48575949367088,6,11,2023
5,0.35,40.0,3.0,5,128.0,6,9,2023
12,0.09,1100.0,13.0,59,75.0,6,9,2023
25,0.1,288.0,6.0,59,60.0,6,9,2023
7,0.265281748213304,229.0,4.0,59,186.0,6,8,2023
12,0.12,891.0,5.0,59,155.0,6,8,2023
24,0.15,644.0,7.0,59,140.0,6,8,2023
4,0.265281748213304,805.0,6.0,59,246.48575949367088,6,8,2023
26,0.265281748213304,484.0,13.0,59,246.48575949367088,6,8,2023
25,1.0,7.0,1.0,59,246.48575949367088,6,8,2023
5,0.265281748213304,5500.0,12.0,22,1000.0,6,7,2023
7,0.265281748213304,4100.0,13.0,5,296.0,6,7,2023
4,0.265281748213304,340.0,14.0,59,79.0,6,7,2023
12,0.265281748213304,324.0,14.0,59,39.0,6,7,2023
21,0.265281748213304,905.0,0.0,59,246.48575949367088,6,7,2023
13,0.08,349.0,13.0,59,246.48575949367088,6,7,2023
0,0.265281748213304,233.0,5.0,59,246.48575949367088,6,7,2023
16,0.265281748213304,157.0,13.0,59,196.0,6,6,2023
13,0.12,462.0,13.0,59,134.0,6,6,2023
2,0.05,1300.0,7.0,59,90.0,6,6,2023
2,0.27,165.0,0.0,1,60.0,6,6,2023
25,0.09,364.0,5.0,59,50.0,6,6,2023
19,0.265281748213304,1300.0,13.0,59,50.0,6,6,2023
3,0.265281748213304,23.0,1.0,28,6.0,6,6,2023
12,1.0,157.0,0.0,59,246.48575949367088,6,6,2023
18,0.02,2100.0,13.0,52,200.0,6,5,2023
7,0.265281748213304,19.0,2.0,59,8.0,6,5,2023
21,0.265281748213304,310.0,4.0,59,246.48575949367088,6,5,2023
9,0.05,274.0,4.0,59,246.48575949367088,6,3,2023
24,0.03,7.0,13.0,59,120.0,6,2,2023
19,0.265281748213304,307.0,6.0,17,90.0,6,2,2023
9,1.0,423.0,0.0,59,246.48575949367088,6,2,2023
7,0.7,157.0,15.0,59,280.0,6,1,2023
20,0.265281748213304,192.0,4.0,59,170.0,6,1,2023
12,0.265281748213304,9.0,3.0,22,160.0,6,1,2023
17,0.1,394.0,13.0,59,90.0,6,1,2023
15,0.265281748213304,141.0,3.0,59,246.48575949367088,6,1,2023
10,0.1,332.0,4.0,17,246.48575949367088,6,1,2023
19,0.265281748213304,157.0,0.0,59,246.48575949367088,6,1,2023
25,0.05,696.0,13.0,59,246.48575949367088,6,1,2023
7,0.19,161.0,5.0,59,20.0,6,1,2023
26,0.08,85.0,14.0,59,320.0,5,31,2023
22,0.2,769.0,13.0,59,270.0,5,31,2023
19,0.25,216.0,3.0,59,100.0,5,31,2023
21,0.265281748213304,214.0,0.0,17,60.0,5,31,2023
13,0.3,173.0,5.0,59,40.0,5,31,2023
7,0.2,330.0,5.0,17,120.0,5,30,2023
23,0.265281748213304,254.0,0.0,22,30.0,5,30,2023
7,0.265281748213304,219.0,14.0,59,246.48575949367088,5,30,2023
3,0.265281748213304,88.0,3.0,48,246.48575949367088,5,30,2023
13,0.265281748213304,109.0,0.0,59,246.48575949367088,5,30,2023
15,0.1,817.0,0.0,59,130.0,5,26,2023
22,0.1,157.0,13.0,59,53.0,5,26,2023
12,0.265281748213304,292.0,12.0,58,180.0,5,25,2023
17,0.3,50.0,3.0,22,75.0,5,25,2023
9,0.265281748213304,12.0,1.0,17,35.0,5,25,2023
2,0.12,244.0,14.0,59,246.48575949367088,5,25,2023
5,0.12,643.0,7.0,59,172.0,5,24,2023
17,0.11,157.0,14.0,59,120.0,5,24,2023
9,0.16,1000.0,3.0,17,100.0,5,24,2023
11,0.07,900.0,13.0,25,60.0,5,24,2023
4,0.07,157.0,15.0,9,246.48575949367088,5,24,2023
5,0.3,148.0,5.0,41,246.48575949367088,5,24,2023
9,0.265281748213304,157.0,15.0,22,1000.0,5,23,2023
11,0.265281748213304,157.0,13.0,25,30.0,5,23,2023
2,0.08,542.0,0.0,17,246.48575949367088,5,23,2023
7,0.265281748213304,119.0,5.0,59,246.48575949367088,5,23,2023
21,0.265281748213304,30.0,13.0,59,62.0,5,22,2023
12,1.0,157.0,0.0,59,246.48575949367088,5,22,2023
16,0.265281748213304,30.0,3.0,59,246.48575949367088,5,22,2023
12,0.265281748213304,157.0,14.0,59,246.48575949367088,5,20,2023
7,0.265281748213304,150.0,3.0,17,30.0,5,19,2023
7,0.14,621.0,5.0,59,63.0,5,18,2023
24,0.265281748213304,17.0,2.0,59,246.48575949367088,5,18,2023
4,0.15,414.0,5.0,59,246.48575949367088,5,18,2023
19,1.0,15.0,1.0,25,246.48575949367088,5,18,2023
9,0.265281748213304,150.0,4.0,59,246.48575949367088,5,18,2023
27,0.3,648.0,13.0,59,246.48575949367088,5,18,2023
7,0.1,480.0,0.0,59,40.0,5,17,2023
19,0.4,425.0,12.0,59,246.48575949367088,5,17,2023
12,0.11,157.0,14.0,59,3000.0,5,16,2023
7,0.26,700.0,6.0,58,420.0,5,16,2023
7,0.03,481.0,13.0,59,45.0,5,16,2023
15,0.265281748213304,7.0,0.0,59,246.48575949367088,5,16,2023
7,0.85,20.0,2.0,5,246.48575949367088,5,16,2023
9,1.0,30.0,0.0,59,246.48575949367088,5,13,2023
27,0.3,2100.0,5.0,59,340.0,5,12,2023
27,0.265281748213304,30.0,13.0,43,172.0,5,12,2023
7,0.35,21.0,14.0,22,160.0,5,12,2023
23,0.33,157.0,0.0,59,27.0,5,12,2023
12,0.265281748213304,87.0,4.0,22,20.0,5,12,2023
14,0.1,298.0,5.0,59,246.48575949367088,5,12,2023
3,1.0,43.0,2.0,59,246.48575949367088,5,12,2023
9,0.11,31.0,14.0,8,18.0,5,11,2023
7,0.265281748213304,992.0,6.0,59,97.0,5,11,2023
14,0.08,233.0,13.0,59,246.48575949367088,5,11,2023
19,0.265281748213304,1.0,13.0,59,158.0,5,10,2023
23,0.23,55.0,13.0,1,70.0,5,10,2023
19,0.06,235.0,13.0,59,60.0,5,10,2023
22,0.1,153.0,14.0,59,58.0,5,10,2023
25,0.03,35.0,13.0,59,290.0,5,9,2023
25,0.14,154.0,14.0,59,100.0,5,9,2023
19,0.06,91.0,13.0,25,80.0,5,9,2023
18,0.265281748213304,32.0,0.0,59,246.48575949367088,5,9,2023
7,0.15,530.0,13.0,59,246.48575949367088,5,9,2023
22,0.04,154.0,14.0,59,716.0,5,8,2023
5,0.265281748213304,121.0,0.0,22,100.0,5,8,2023
12,0.6,157.0,5.0,25,70.0,5,8,2023
7,0.265281748213304,11.0,1.0,59,5.0,5,8,2023
3,1.0,27.0,0.0,1,246.48575949367088,5,8,2023
12,0.25,503.0,13.0,59,270.0,5,5,2023
23,0.15,1100.0,7.0,22,251.0,5,5,2023
5,0.265281748213304,118.0,3.0,22,70.0,5,5,2023
7,0.33,45.0,3.0,59,246.48575949367088,5,5,2023
23,0.2,122.0,13.0,7,2300.0,5,4,2023
28,0.15,1700.0,13.0,59,1100.0,5,4,2023
17,1.0,157.0,0.0,59,90.0,5,4,2023
3,0.33,205.0,3.0,59,30.0,5,4,2023
