industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
2,1.0,197.0,4,59,6,23,2023,2
19,0.09,141.0,4,59,6,22,2023,2
19,0.265282,300.0,14,59,6,21,2023,2
27,0.265282,25200.0,13,59,6,21,2023,1
13,0.265282,148.0,4,59,6,21,2023,1
9,0.4,134.0,4,7,6,21,2023,0
12,0.265282,306.0,12,59,6,21,2023,2
27,0.11,16500.0,13,48,6,20,2023,2
17,0.265282,157.0,14,34,6,20,2023,2
9,1.0,13.0,0,58,6,20,2023,2
18,0.2,88.0,0,22,6,19,2023,0
10,1.0,2.0,1,59,6,19,2023,2
12,1.0,80.0,4,59,6,18,2023,1
12,0.8,24.0,2,22,6,17,2023,1
27,0.265282,3300.0,13,59,6,16,2023,2
27,1.0,4.0,1,58,6,16,2023,2
23,0.265282,194.0,14,59,6,16,2023,2
12,0.33,51.0,2,59,6,15,2023,1
27,0.6,157.0,15,50,6,15,2023,0
3,0.265282,157.0,15,59,6,15,2023,2
12,0.265282,157.0,14,59,6,15,2023,2
5,0.9,17.0,2,22,6,15,2023,2
3,1.0,84.0,3,59,6,14,2023,2
2,0.07,455.2,13,59,6,14,2023,1
27,0.24,340.0,13,59,6,14,2023,1
9,0.11,184.0,13,59,6,14,2023,1
23,0.265282,111.0,0,22,6,14,2023,1
7,0.18,50.0,3,59,6,14,2023,2
25,0.265282,119.0,4,59,6,13,2023,0
9,0.15,284.0,14,59,6,12,2023,2
20,0.12,469.0,7,59,6,12,2023,1
5,0.04,227.0,13,59,6,12,2023,1
18,1.0,4.0,1,59,6,12,2023,2
7,0.15,529.0,8,58,6,12,2023,2
3,0.4,253.0,0,59,6,11,2023,1
2,1.0,157.0,0,48,6,11,2023,2
5,0.35,40.0,3,5,6,9,2023,1
12,0.09,1100.0,13,59,6,9,2023,1
25,0.1,288.0,6,59,6,9,2023,0
7,0.265282,229.0,4,59,6,8,2023,1
12,0.12,891.0,5,59,6,8,2023,1
24,0.15,644.0,7,59,6,8,2023,1
4,0.265282,805.0,6,59,6,8,2023,2
26,0.265282,484.0,13,59,6,8,2023,2
25,1.0,7.0,1,59,6,8,2023,2
5,0.265282,5500.0,12,22,6,7,2023,2
7,0.265282,4100.0,13,5,6,7,2023,2
4,0.265282,340.0,14,59,6,7,2023,1
12,0.265282,324.0,14,59,6,7,2023,0
21,0.265282,905.0,0,59,6,7,2023,2
13,0.08,349.0,13,59,6,7,2023,2
0,0.265282,233.0,5,59,6,7,2023,2
16,0.265282,157.0,13,59,6,6,2023,1
13,0.12,462.0,13,59,6,6,2023,1
2,0.05,1300.0,7,59,6,6,2023,1
2,0.27,165.0,0,1,6,6,2023,0
25,0.09,364.0,5,59,6,6,2023,0
19,0.265282,1300.0,13,59,6,6,2023,0
3,0.265282,23.0,1,28,6,6,2023,0
12,1.0,157.0,0,59,6,6,2023,2
18,0.02,2100.0,13,52,6,5,2023,1
7,0.265282,19.0,2,59,6,5,2023,0
21,0.265282,310.0,4,59,6,5,2023,2
9,0.05,274.0,4,59,6,3,2023,2
24,0.03,7.0,13,59,6,2,2023,1
19,0.265282,307.0,6,17,6,2,2023,1
9,1.0,423.0,0,59,6,2,2023,2
7,0.7,157.0,15,59,6,1,2023,2
20,0.265282,192.0,4,59,6,1,2023,1
12,0.265282,9.0,3,22,6,1,2023,1
17,0.1,394.0,13,59,6,1,2023,1
15,0.265282,141.0,3,59,6,1,2023,2
10,0.1,332.0,4,17,6,1,2023,2
19,0.265282,157.0,0,59,6,1,2023,2
25,0.05,696.0,13,59,6,1,2023,2
7,0.19,161.0,5,59,6,1,2023,0
26,0.08,85.0,14,59,5,31,2023,2
22,0.2,769.0,13,59,5,31,2023,2
19,0.25,216.0,3,59,5,31,2023,1
21,0.265282,214.0,0,17,5,31,2023,0
13,0.3,173.0,5,59,5,31,2023,0
7,0.2,330.0,5,17,5,30,2023,1
23,0.265282,254.0,0,22,5,30,2023,0
7,0.265282,219.0,14,59,5,30,2023,2
3,0.265282,88.0,3,48,5,30,2023,2
13,0.265282,109.0,0,59,5,30,2023,2
15,0.1,817.0,0,59,5,26,2023,1
22,0.1,157.0,13,59,5,26,2023,0
12,0.265282,292.0,12,58,5,25,2023,1
17,0.3,50.0,3,22,5,25,2023,1
9,0.265282,12.0,1,17,5,25,2023,0
2,0.12,244.0,14,59,5,25,2023,2
5,0.12,643.0,7,59,5,24,2023,1
17,0.11,157.0,14,59,5,24,2023,1
9,0.16,1000.0,3,17,5,24,2023,1
11,0.07,900.0,13,25,5,24,2023,0
4,0.07,157.0,15,9,5,24,2023,2
5,0.3,148.0,5,41,5,24,2023,2
9,0.265282,157.0,15,22,5,23,2023,2
11,0.265282,157.0,13,25,5,23,2023,0
2,0.08,542.0,0,17,5,23,2023,2
7,0.265282,119.0,5,59,5,23,2023,2
21,0.265282,30.0,13,59,5,22,2023,0
12,1.0,157.0,0,59,5,22,2023,2
16,0.265282,30.0,3,59,5,22,2023,2
12,0.265282,157.0,14,59,5,20,2023,2
7,0.265282,150.0,3,17,5,19,2023,0
7,0.14,621.0,5,59,5,18,2023,0
24,0.265282,17.0,2,59,5,18,2023,2
4,0.15,414.0,5,59,5,18,2023,2
