industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
2,1,197,4,59,'\'(245.743-inf)\'',6,23,2023
19,0.09,141,4,59,'\'(245.743-inf)\'',6,22,2023
19,0.265282,300,14,59,'\'(245.743-inf)\'',6,21,2023
27,0.265282,25200,13,59,'\'(74.5-245.743]\'',6,21,2023
13,0.265282,148,4,59,'\'(74.5-245.743]\'',6,21,2023
9,0.4,134,4,7,'\'(-inf-74.5]\'',6,21,2023
12,0.265282,306,12,59,'\'(245.743-inf)\'',6,21,2023
27,0.11,16500,13,48,'\'(245.743-inf)\'',6,20,2023
17,0.265282,157,14,34,'\'(245.743-inf)\'',6,20,2023
9,1,13,0,58,'\'(245.743-inf)\'',6,20,2023
18,0.2,88,0,22,'\'(-inf-74.5]\'',6,19,2023
10,1,2,1,59,'\'(245.743-inf)\'',6,19,2023
12,1,80,4,59,'\'(74.5-245.743]\'',6,18,2023
12,0.8,24,2,22,'\'(74.5-245.743]\'',6,17,2023
27,0.265282,3300,13,59,'\'(245.743-inf)\'',6,16,2023
27,1,4,1,58,'\'(245.743-inf)\'',6,16,2023
23,0.265282,194,14,59,'\'(245.743-inf)\'',6,16,2023
12,0.33,51,2,59,'\'(74.5-245.743]\'',6,15,2023
27,0.6,157,15,50,'\'(-inf-74.5]\'',6,15,2023
3,0.265282,157,15,59,'\'(245.743-inf)\'',6,15,2023
12,0.265282,157,14,59,'\'(245.743-inf)\'',6,15,2023
5,0.9,17,2,22,'\'(245.743-inf)\'',6,15,2023
3,1,84,3,59,'\'(245.743-inf)\'',6,14,2023
2,0.07,455.2,13,59,'\'(74.5-245.743]\'',6,14,2023
27,0.24,340,13,59,'\'(74.5-245.743]\'',6,14,2023
9,0.11,184,13,59,'\'(74.5-245.743]\'',6,14,2023
23,0.265282,111,0,22,'\'(74.5-245.743]\'',6,14,2023
7,0.18,50,3,59,'\'(245.743-inf)\'',6,14,2023
25,0.265282,119,4,59,'\'(-inf-74.5]\'',6,13,2023
9,0.15,284,14,59,'\'(245.743-inf)\'',6,12,2023
20,0.12,469,7,59,'\'(74.5-245.743]\'',6,12,2023
5,0.04,227,13,59,'\'(74.5-245.743]\'',6,12,2023
18,1,4,1,59,'\'(245.743-inf)\'',6,12,2023
7,0.15,529,8,58,'\'(245.743-inf)\'',6,12,2023
3,0.4,253,0,59,'\'(74.5-245.743]\'',6,11,2023
2,1,157,0,48,'\'(245.743-inf)\'',6,11,2023
5,0.35,40,3,5,'\'(74.5-245.743]\'',6,9,2023
12,0.09,1100,13,59,'\'(74.5-245.743]\'',6,9,2023
25,0.1,288,6,59,'\'(-inf-74.5]\'',6,9,2023
7,0.265282,229,4,59,'\'(74.5-245.743]\'',6,8,2023
12,0.12,891,5,59,'\'(74.5-245.743]\'',6,8,2023
