,industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
0,2,1.0,197.0,4,59,3,6,23,2023
1,19,0.09,141.0,4,59,3,6,22,2023
2,19,0.265282,300.0,14,59,4,6,21,2023
3,27,0.265282,25200.0,13,59,2,6,21,2023
4,13,0.265282,148.0,4,59,1,6,21,2023
5,9,0.4,134.0,4,7,0,6,21,2023
6,12,0.265282,306.0,12,59,3,6,21,2023
7,27,0.11,16500.0,13,48,4,6,20,2023
8,17,0.265282,157.0,14,34,4,6,20,2023
9,9,1.0,13.0,0,58,3,6,20,2023
10,18,0.2,88.0,0,22,1,6,19,2023
11,10,1.0,2.0,1,59,3,6,19,2023
12,12,1.0,80.0,4,59,1,6,18,2023
13,12,0.8,24.0,2,22,2,6,17,2023
14,27,0.265282,3300.0,13,59,4,6,16,2023
15,27,1.0,4.0,1,58,3,6,16,2023
16,23,0.265282,194.0,14,59,3,6,16,2023
17,12,0.33,51.0,2,59,2,6,15,2023
18,27,0.6,157.0,15,50,1,6,15,2023
19,3,0.265282,157.0,15,59,3,6,15,2023
20,12,0.265282,157.0,14,59,3,6,15,2023
21,5,0.9,17.0,2,22,3,6,15,2023
22,3,1.0,84.0,3,59,4,6,14,2023
23,2,0.07,455.2,13,59,2,6,14,2023
24,27,0.24,340.0,13,59,2,6,14,2023
25,9,0.11,184.0,13,59,1,6,14,2023
26,23,0.265282,111.0,0,22,1,6,14,2023
27,7,0.18,50.0,3,59,3,6,14,2023
28,25,0.265282,119.0,4,59,0,6,13,2023
29,9,0.15,284.0,14,59,4,6,12,2023
30,20,0.12,469.0,7,59,2,6,12,2023
31,5,0.04,227.0,13,59,1,6,12,2023
32,18,1.0,4.0,1,59,3,6,12,2023
33,7,0.15,529.0,8,58,3,6,12,2023
34,3,0.4,253.0,0,59,1,6,11,2023
35,2,1.0,157.0,0,48,3,6,11,2023
36,5,0.35,40.0,3,5,2,6,9,2023
37,12,0.09,1100.0,13,59,1,6,9,2023
38,25,0.1,288.0,6,59,1,6,9,2023
39,7,0.265282,229.0,4,59,2,6,8,2023
40,12,0.12,891.0,5,59,2,6,8,2023
41,24,0.15,644.0,7,59,2,6,8,2023
42,4,0.265282,805.0,6,59,3,6,8,2023
43,26,0.265282,484.0,13,59,3,6,8,2023
44,25,1.0,7.0,1,59,3,6,8,2023
45,5,0.265282,5500.0,12,22,4,6,7,2023
46,7,0.265282,4100.0,13,5,4,6,7,2023
47,4,0.265282,340.0,14,59,1,6,7,2023
48,12,0.265282,324.0,14,59,0,6,7,2023
49,21,0.265282,905.0,0,59,3,6,7,2023
50,13,0.08,349.0,13,59,3,6,7,2023
51,0,0.265282,233.0,5,59,3,6,7,2023
52,16,0.265282,157.0,13,59,2,6,6,2023
53,13,0.12,462.0,13,59,2,6,6,2023
54,2,0.05,1300.0,7,59,1,6,6,2023
55,2,0.27,165.0,0,1,1,6,6,2023
56,25,0.09,364.0,5,59,1,6,6,2023
57,19,0.265282,1300.0,13,59,1,6,6,2023
58,3,0.265282,23.0,1,28,0,6,6,2023
59,12,1.0,157.0,0,59,3,6,6,2023
60,18,0.02,2100.0,13,52,2,6,5,2023
61,7,0.265282,19.0,2,59,0,6,5,2023
62,21,0.265282,310.0,4,59,3,6,5,2023
63,9,0.05,274.0,4,59,3,6,3,2023
64,24,0.03,7.0,13,59,2,6,2,2023
65,19,0.265282,307.0,6,17,1,6,2,2023
66,9,1.0,423.0,0,59,3,6,2,2023
67,7,0.7,157.0,15,59,4,6,1,2023
68,20,0.265282,192.0,4,59,2,6,1,2023
69,12,0.265282,9.0,3,22,2,6,1,2023
70,17,0.1,394.0,13,59,1,6,1,2023
71,15,0.265282,141.0,3,59,3,6,1,2023
72,10,0.1,332.0,4,17,3,6,1,2023
73,19,0.265282,157.0,0,59,3,6,1,2023
74,25,0.05,696.0,13,59,3,6,1,2023
75,7,0.19,161.0,5,59,0,6,1,2023
76,26,0.08,85.0,14,59,4,5,31,2023
77,22,0.2,769.0,13,59,4,5,31,2023
78,19,0.25,216.0,3,59,2,5,31,2023
79,21,0.265282,214.0,0,17,1,5,31,2023
80,13,0.3,173.0,5,59,0,5,31,2023
81,7,0.2,330.0,5,17,2,5,30,2023
82,23,0.265282,254.0,0,22,0,5,30,2023
83,7,0.265282,219.0,14,59,3,5,30,2023
84,3,0.265282,88.0,3,48,3,5,30,2023
85,13,0.265282,109.0,0,59,3,5,30,2023
86,15,0.1,817.0,0,59,2,5,26,2023
87,22,0.1,157.0,13,59,1,5,26,2023
88,12,0.265282,292.0,12,58,2,5,25,2023
89,17,0.3,50.0,3,22,1,5,25,2023
90,9,0.265282,12.0,1,17,0,5,25,2023
91,2,0.12,244.0,14,59,3,5,25,2023
92,5,0.12,643.0,7,59,2,5,24,2023
93,17,0.11,157.0,14,59,2,5,24,2023
94,9,0.16,1000.0,3,17,2,5,24,2023
95,11,0.07,900.0,13,25,1,5,24,2023
96,4,0.07,157.0,15,9,3,5,24,2023
97,5,0.3,148.0,5,41,3,5,24,2023
98,9,0.265282,157.0,15,22,4,5,23,2023
99,11,0.265282,157.0,13,25,0,5,23,2023
100,2,0.08,542.0,0,17,3,5,23,2023
101,7,0.265282,119.0,5,59,3,5,23,2023
102,21,0.265282,30.0,13,59,1,5,22,2023
103,12,1.0,157.0,0,59,3,5,22,2023
